id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,geometry span,79,42,45,56,377,ship,baseline,monotonic-signal,raise-signal
m002,g002,atlas pressure,57,19,6,90,428,ship,edge,drag-penalty,drop-slack
m003,g003,shader drift,54,61,16,68,426,ship,recovery,confidence-floor,raise-drag
m004,g004,render budget,100,44,33,92,573,ship,negative,lane-boundary,lower-confidence
m005,g005,geometry span,47,38,26,42,270,ship,baseline,monotonic-signal,raise-signal
m006,g006,atlas pressure,55,62,45,58,325,ship,edge,drag-penalty,drop-slack
m007,g007,shader drift,111,23,21,70,567,ship,recovery,confidence-floor,raise-drag
m008,g008,render budget,98,70,42,68,542,ship,negative,lane-boundary,lower-confidence
m009,g009,geometry span,104,61,36,91,612,ship,baseline,monotonic-signal,raise-signal
m010,g010,atlas pressure,97,48,14,100,642,ship,edge,drag-penalty,drop-slack
m011,g011,shader drift,58,26,11,23,297,ship,recovery,confidence-floor,raise-drag
m012,g012,render budget,42,47,22,62,320,ship,negative,lane-boundary,lower-confidence
m013,g013,geometry span,46,60,44,20,212,ship,baseline,monotonic-signal,raise-signal
m014,g014,atlas pressure,82,23,45,40,319,ship,edge,drag-penalty,drop-slack
m015,g015,shader drift,64,58,33,97,467,ship,recovery,confidence-floor,raise-drag
m016,g016,render budget,103,38,18,31,496,ship,negative,lane-boundary,lower-confidence
m017,g017,geometry span,91,30,36,22,360,ship,baseline,monotonic-signal,raise-signal
m018,g018,atlas pressure,31,53,5,59,333,ship,edge,drag-penalty,drop-slack
m019,g019,shader drift,97,48,40,82,528,ship,recovery,confidence-floor,raise-drag
m020,g020,render budget,45,43,6,42,332,ship,negative,lane-boundary,lower-confidence
m021,g021,geometry span,120,8,15,89,629,ship,baseline,monotonic-signal,raise-signal
m022,g022,atlas pressure,59,52,21,67,411,ship,edge,drag-penalty,drop-slack
m023,g023,shader drift,81,23,33,104,479,ship,recovery,confidence-floor,raise-drag
m024,g024,render budget,95,40,30,28,426,ship,negative,lane-boundary,lower-confidence
m025,g025,geometry span,71,34,33,57,367,ship,baseline,monotonic-signal,raise-signal
m026,g026,atlas pressure,49,40,36,69,306,ship,edge,drag-penalty,drop-slack
m027,g027,shader drift,90,62,25,80,569,ship,recovery,confidence-floor,raise-drag
m028,g028,render budget,114,70,11,77,717,ship,negative,lane-boundary,lower-confidence
m029,g029,geometry span,50,76,30,99,460,ship,baseline,monotonic-signal,raise-signal
m030,g030,atlas pressure,52,36,41,22,201,ship,edge,drag-penalty,drop-slack
m031,g031,shader drift,105,35,34,74,536,ship,recovery,confidence-floor,raise-drag
m032,g032,render budget,111,66,21,92,697,ship,negative,lane-boundary,lower-confidence
m033,g033,geometry span,107,49,41,39,481,ship,baseline,monotonic-signal,raise-signal
m034,g034,atlas pressure,95,32,31,96,543,ship,edge,drag-penalty,drop-slack
m035,g035,shader drift,53,8,14,43,272,ship,recovery,confidence-floor,raise-drag
m036,g036,render budget,79,28,29,8,301,ship,negative,lane-boundary,lower-confidence
m037,g037,geometry span,105,75,30,58,596,ship,baseline,monotonic-signal,raise-signal
m038,g038,atlas pressure,64,55,11,81,495,ship,edge,drag-penalty,drop-slack
m039,g039,shader drift,51,64,52,54,284,ship,recovery,confidence-floor,raise-drag
m040,g040,render budget,48,31,21,75,341,ship,negative,lane-boundary,lower-confidence
m041,g041,geometry span,59,52,32,66,376,ship,baseline,monotonic-signal,raise-signal
m042,g042,atlas pressure,99,54,18,103,656,ship,edge,drag-penalty,drop-slack
m043,g043,shader drift,83,39,40,40,370,ship,recovery,confidence-floor,raise-drag
m044,g044,render budget,78,63,42,43,398,ship,negative,lane-boundary,lower-confidence
m045,g045,geometry span,44,43,6,68,380,ship,baseline,monotonic-signal,raise-signal
m046,g046,atlas pressure,105,24,11,79,593,ship,edge,drag-penalty,drop-slack
m047,g047,shader drift,56,69,22,89,474,ship,recovery,confidence-floor,raise-drag
m048,g048,render budget,35,53,18,85,362,ship,negative,lane-boundary,lower-confidence
